AFDX_OUTPUT_MESSAGE;IR_1;;Application;VL_S_GADIRU_1_INSTRUM_3;10005;GADIRU_INSTRUM_5_MES_IR_1;;;non protocol based data;;252;0;10;10;FDS_INSTRUM_IR;;244;0;8;FS_INSTRUM_IR;;4;Integer;GADIRU_INSTRUM_DATA_50_52;;10;;IR_10ms_msg;GADIRU_INSTRUM_DATA_50_52_1;SCAF----------------------------;Corrected  increments AY_ AZ 17;;GADIRU_INSTRUM_DATA_50_52_SG_1;Integer;;;32;196;;;;;;;;;;;;;;;;-2147483648;2147483647;No Unit;;BN2
AFDX_OUTPUT_MESSAGE;IR_1;;Application;VL_S_GADIRU_1_INSTRUM_3;10005;GADIRU_INSTRUM_5_MES_IR_1;;;non protocol based data;;252;0;10;10;FDS_INSTRUM_IR;;244;0;8;FS_INSTRUM_IR;;4;Integer;GADIRU_INSTRUM_DATA_50_53;;10;;IR_10ms_msg;GADIRU_INSTRUM_DATA_50_53_1;SCAF----------------------------;Corrected  increments GX_ GY 18;;GADIRU_INSTRUM_DATA_50_53_SG_1;Integer;;;32;200;;;;;;;;;;;;;;;;-2147483648;2147483647;No Unit;;BN2
AFDX_OUTPUT_MESSAGE;IR_1;;Application;VL_S_GADIRU_1_INSTRUM_3;10005;GADIRU_INSTRUM_5_MES_IR_1;;;non protocol based data;;252;0;10;10;FDS_INSTRUM_IR;;244;0;8;FS_INSTRUM_IR;;4;Integer;GADIRU_INSTRUM_DATA_50_54;;10;;IR_10ms_msg;GADIRU_INSTRUM_DATA_50_54_1;SCAF----------------------------;Corrected  increments GZ_ AX 18;;GADIRU_INSTRUM_DATA_50_54_SG_1;Integer;;;32;204;;;;;;;;;;;;;;;;-2147483648;2147483647;No Unit;;BN2
AFDX_OUTPUT_MESSAGE;IR_1;;Application;VL_S_GADIRU_1_INSTRUM_3;10005;GADIRU_INSTRUM_5_MES_IR_1;;;non protocol based data;;252;0;10;10;FDS_INSTRUM_IR;;244;0;8;FS_INSTRUM_IR;;4;Integer;GADIRU_INSTRUM_DATA_50_55;;10;;IR_10ms_msg;GADIRU_INSTRUM_DATA_50_55_1;SCAF----------------------------;Corrected  increments AY_ AZ 18;;GADIRU_INSTRUM_DATA_50_55_SG_1;Integer;;;32;208;;;;;;;;;;;;;;;;-2147483648;2147483647;No Unit;;BN2
AFDX_OUTPUT_MESSAGE;IR_1;;Application;VL_S_GADIRU_1_INSTRUM_3;10005;GADIRU_INSTRUM_5_MES_IR_1;;;non protocol based data;;252;0;10;10;FDS_INSTRUM_IR;;244;0;8;FS_INSTRUM_IR;;4;Integer;GADIRU_INSTRUM_DATA_50_56;;10;;IR_10ms_msg;GADIRU_INSTRUM_DATA_50_56_1;SCAF----------------------------;Corrected  increments GX_ GY 19;;GADIRU_INSTRUM_DATA_50_56_SG_1;Integer;;;32;212;;;;;;;;;;;;;;;;-2147483648;2147483647;No Unit;;BN2
AFDX_OUTPUT_MESSAGE;IR_1;;Application;VL_S_GADIRU_1_INSTRUM_3;10005;GADIRU_INSTRUM_5_MES_IR_1;;;non protocol based data;;252;0;10;10;FDS_INSTRUM_IR;;244;0;8;FS_INSTRUM_IR;;4;Integer;GADIRU_INSTRUM_DATA_50_57;;10;;IR_10ms_msg;GADIRU_INSTRUM_DATA_50_57_1;SCAF----------------------------;Corrected  increments GZ_ AX 19;;GADIRU_INSTRUM_DATA_50_57_SG_1;Integer;;;32;216;;;;;;;;;;;;;;;;-2147483648;2147483647;No Unit;;BN2
AFDX_OUTPUT_MESSAGE;IR_1;;Application;VL_S_GADIRU_1_INSTRUM_3;10005;GADIRU_INSTRUM_5_MES_IR_1;;;non protocol based data;;252;0;10;10;FDS_INSTRUM_IR;;244;0;8;FS_INSTRUM_IR;;4;Integer;GADIRU_INSTRUM_DATA_50_58;;10;;IR_10ms_msg;GADIRU_INSTRUM_DATA_50_58_1;SCAF----------------------------;Corrected  increments AY_ AZ 19;;GADIRU_INSTRUM_DATA_50_58_SG_1;Integer;;;32;220;;;;;;;;;;;;;;;;-2147483648;2147483647;No Unit;;BN2
AFDX_OUTPUT_MESSAGE;IR_1;;Application;VL_S_GADIRU_1_INSTRUM_3;10005;GADIRU_INSTRUM_5_MES_IR_1;;;non protocol based data;;252;0;10;10;FDS_INSTRUM_IR;;244;0;8;FS_INSTRUM_IR;;4;Integer;GADIRU_INSTRUM_DATA_50_59;;10;;IR_10ms_msg;GADIRU_INSTRUM_DATA_50_59_1;SCAF----------------------------;Corrected  increments GX_ GY 20;;GADIRU_INSTRUM_DATA_50_59_SG_1;Integer;;;32;224;;;;;;;;;;;;;;;;-2147483648;2147483647;No Unit;;BN2
AFDX_OUTPUT_MESSAGE;IR_1;;Application;VL_S_GADIRU_1_INSTRUM_3;10005;GADIRU_INSTRUM_5_MES_IR_1;;;non protocol based data;;252;0;10;10;FDS_INSTRUM_IR;;244;0;8;FS_INSTRUM_IR;;4;Integer;GADIRU_INSTRUM_DATA_50_6;;10;;IR_10ms_msg;GADIRU_INSTRUM_DATA_50_6_1;SCAF----------------------------;Corrected  increments GZ_ AX 2;;GADIRU_INSTRUM_DATA_50_6_SG_1;Integer;;;32;228;;;;;;;;;;;;;;;;-2147483648;2147483647;No Unit;;BN2
AFDX_OUTPUT_MESSAGE;IR_1;;Application;VL_S_GADIRU_1_INSTRUM_3;10005;GADIRU_INSTRUM_5_MES_IR_1;;;non protocol based data;;252;0;10;10;FDS_INSTRUM_IR;;244;0;8;FS_INSTRUM_IR;;4;Integer;GADIRU_INSTRUM_DATA_50_60;;10;;IR_10ms_msg;GADIRU_INSTRUM_DATA_50_60_1;SCAF----------------------------;Corrected  increments GZ_ AX 20;;GADIRU_INSTRUM_DATA_50_60_SG_1;Integer;;;32;232;;;;;;;;;;;;;;;;-2147483648;2147483647;No Unit;;BN2
AFDX_OUTPUT_MESSAGE;IR_1;;Application;VL_S_GADIRU_1_INSTRUM_3;10005;GADIRU_INSTRUM_5_MES_IR_1;;;non protocol based data;;252;0;10;10;FDS_INSTRUM_IR;;244;0;8;FS_INSTRUM_IR;;4;Integer;GADIRU_INSTRUM_DATA_50_61;;10;;IR_10ms_msg;GADIRU_INSTRUM_DATA_50_61_1;SCAF----------------------------;Corrected  increments AY_ AZ 20;;GADIRU_INSTRUM_DATA_50_61_SG_1;Integer;;;32;236;;;;;;;;;;;;;;;;-2147483648;2147483647;No Unit;;BN2
AFDX_OUTPUT_MESSAGE;IR_1;;Application;VL_S_GADIRU_1_INSTRUM_3;10005;GADIRU_INSTRUM_5_MES_IR_1;;;non protocol based data;;252;0;10;10;FDS_INSTRUM_IR;;244;0;8;FS_INSTRUM_IR;;4;Integer;GADIRU_INSTRUM_DATA_50_7;;10;;IR_10ms_msg;GADIRU_INSTRUM_DATA_50_7_1;SCAF----------------------------;Corrected  increments AY_ AZ 2;;GADIRU_INSTRUM_DATA_50_7_SG_1;Integer;;;32;240;;;;;;;;;;;;;;;;-2147483648;2147483647;No Unit;;BN2
AFDX_OUTPUT_MESSAGE;IR_1;;Application;VL_S_GADIRU_1_INSTRUM_3;10005;GADIRU_INSTRUM_5_MES_IR_1;;;non protocol based data;;252;0;10;10;FDS_INSTRUM_IR;;244;0;8;FS_INSTRUM_IR;;4;Integer;GADIRU_INSTRUM_DATA_50_8;;10;;IR_10ms_msg;GADIRU_INSTRUM_DATA_50_8_1;SCAF----------------------------;Corrected  increments GX_ GY 3;;GADIRU_INSTRUM_DATA_50_8_SG_1;Integer;;;32;244;;;;;;;;;;;;;;;;-2147483648;2147483647;No Unit;;BN2
AFDX_OUTPUT_MESSAGE;IR_1;;Application;VL_S_GADIRU_1_INSTRUM_3;10005;GADIRU_INSTRUM_5_MES_IR_1;;;non protocol based data;;252;0;10;10;FDS_INSTRUM_IR;;244;0;8;FS_INSTRUM_IR;;4;Integer;GADIRU_INSTRUM_DATA_50_9;;10;;IR_10ms_msg;GADIRU_INSTRUM_DATA_50_9_1;SCAF----------------------------;Corrected  increments GZ_ AX 3;;GADIRU_INSTRUM_DATA_50_9_SG_1;Integer;;;32;248;;;;;;;;;;;;;;;;-2147483648;2147483647;No Unit;;BN2
AFDX_OUTPUT_MESSAGE;IR_1;;Application;VL_S_GADIRU_1_IR;8864;GADIRS_MESSAGE_IR_1;;;non protocol based data;;600;0;20;20;IR_HDG_PLATF;;4;0;20;FS_IR_HDG_PLATF;;5;Float;GADIRU_IRS_HDG_PLATF;;40;;;GADIRU_IRS_HDG_PLATF_1;SCAF----------------------------;Platform Heading;;GADIRU_IRS_HDG_PLATFORM_SG_1;Float;;;32;20;;;;;;;;;;;-180;180;deg;0.0054931640625;Simple Precision;;;;;
AFDX_OUTPUT_MESSAGE;IR_1;;Application;VL_S_GADIRU_1_IR;8864;GADIRS_MESSAGE_IR_1;;;non protocol based data;;600;0;20;20;IR_ACCEL_BDY_LAT_FILT;;4;0;24;FS_IR_ACCEL_BDY_LAT_FILT;;6;Float;GADIRU_IRS_LOAD_FACTOR_BODY_NCC_LAT;no;20;;;GADIRU_IRS_ACC_BODY_NCC_LAT_1;SCAF----------------------------;Body Lat Load Factor - filt;;GADIRU_IRS_ACC_BODY_NCC_LAT_SG_1;Float;;;32;24;;;;;;;;;;;-10;9.99969482421875;g;;Simple Precision;;;;;
AFDX_OUTPUT_MESSAGE;IR_1;;Application;VL_S_GADIRU_1_IR;8864;GADIRS_MESSAGE_IR_1;;;non protocol based data;;600;0;20;20;IR_ACCEL_BDY_LONF_FILT;;4;0;28;FS_IR_ACCEL_BDY_LONF_FILT;;7;Float;GADIRU_IRS_LOAD_FACTOR_BODY_NCC_LONG_FILT;no;20;;;GADIRU_IRS_ACC_BODY_NCC_LONG_FILT_1;SCAF----------------------------;Body Long Load Factor - filt;;GADIRU_IRS_ACC_BODY_NCC_LONG_FILT_SG_1;Float;;;32;28;;;;;;;;;;;-10;9.99969482421875;g;;Simple Precision;;;;;
AFDX_OUTPUT_MESSAGE;IR_1;;Application;VL_S_GADIRU_1_IR;8864;GADIRS_MESSAGE_IR_1;;;non protocol based data;;600;0;20;20;IR_ACCEL_BDY_NORM_FILT;;4;0;36;FS_IR_ACCEL_BDY_NORM_FILT;;32;Float;GADIRU_IRS_LOAD_FACTOR_BODY_NCC_NORM;no;20;;;GADIRU_IRS_ACC_BODY_NCC_NORM_1;SCAF----------------------------;Body Norm Load Factor - filt;;GADIRU_IRS_ACC_BODY_NCC_NORM_SG_1;Float;;;32;36;;;;;;;;;;;-10;9.99969482421875;g;;Simple Precision;;;;;
AFDX_OUTPUT_MESSAGE;IR_1;;Application;VL_S_GADIRU_1_IR;8864;GADIRS_MESSAGE_IR_1;;;non protocol based data;;600;0;20;20;IR_ACCEL_PATH_ALONG;;4;0;40;FS_IR_ACCEL_PATH_ALONG;;33;Float;GADIRU_IRS_ACC_PATH_ALONG;;20;;;GADIRU_IRS_ACC_PATH_ALONG_1;SCAF----------------------------;Flight Path Acceleration  FS: acceleration in direction of inertial velocity vector;;GADIRU_IRS_ACC_PATH_ALONG_SG_1;Float;;;32;40;;;;;;;;;;;-10;10;g;0.001;Simple Precision
AFDX_OUTPUT_MESSAGE;IR_1;;Application;VL_S_GADIRU_1_IR;8864;GADIRS_MESSAGE_IR_1;;;non protocol based data;;600;0;20;20;IR_ACCEL_VERT_GEO;;4;0;44;FS_IR_ACCEL_VERT_GEO;;34;Float;GADIRU_IRS_ACC_NAV_NCC_VERT_GEO;;20;;;GADIRU_IRS_ACC_NAV_NCC_VERT_GEO_1;SCAF----------------------------;Vertical Geometric Acceleration  tbc is same as 301/ 364;;GADIRU_IRS_ACC_NAV_NCC_VERT_GEO_SG_1;Float;;;32;44;;;;;;;;;;;-100;100;m/s2;0.0030517578125;Simple Precision
AFDX_OUTPUT_MESSAGE;IR_1;;Application;VL_S_GADIRU_1_IR;8864;GADIRS_MESSAGE_IR_1;;;non protocol based data;;600;0;20;20;IR_ALT_BAROINERTIAL;;4;0;48;FS_IR_ALT_BAROINERTIAL;;35;Float;GADIRU_IRS_MIX_VPOS_PCOR_BARO_H_LEFT;no;20;;;GADIRU_IRS_MIX_VPOS_PCOR_BARO_H_LEFT_1;SCAF----------------------------;Barometric Altitude LEFT - Pressure corrected & Inertially Filtered;;GADIRU_IRS_MIX_VPOS_PCOR_BARO_H_LEFT_SG_1;Float;;;32;48;;;;;;;;;;;-131072;131072;ft;0.125;Simple Precision
AFDX_OUTPUT_MESSAGE;IR_1;;Application;VL_S_GADIRU_1_IR;8864;GADIRS_MESSAGE_IR_1;;;non protocol based data;;600;0;20;20;IR_HPOS_EPU;;4;0;56;FS_IR_HPOS_EPU;;52;Float;GADIRU_IRS_HPOS_QF_EPU;;80;;;GADIRU_IRS_HPOS_QF_EPU_1;SCAF----------------------------;Horizontal EPU;;GADIRU_IRS_HPOS_QF_EPU_SG_1;Float;;;32;56;;;;;;;;;;;0;100000;m;1;Simple Precision
AFDX_OUTPUT_MESSAGE;IR_1;;Application;VL_S_GADIRU_1_IR;8864;GADIRS_MESSAGE_IR_1;;;non protocol based data;;600;0;20;20;IR_ALT_TEMPCOR;;4;0;60;FS_IR_ALT_TEMPCOR;;53;Float;GADIRU_IRS_MIX_VPOS_STD_BARO_H;no;20;;Inertially Filtered Barometric altitude (Nota : This TX Local Name is more consistent than Parameter Name);GADIRU_IRS_MIX_VPOS_MSL_BARO_H_1;SCAF----------------------------;Inertially Filtered Barometric standard altitude;;GADIRU_IRS_MIX_VPOS_MSL_BARO_H_SG_1;Float;;;32;60;;;;;;;;;;;-131072;131072;ft;0.125;Simple Precision
AFDX_OUTPUT_MESSAGE;IR_1;;Application;VL_S_GADIRU_1_IR;8864;GADIRS_MESSAGE_IR_1;;;non protocol based data;;600;0;20;20;IR_ATT;;8;0;64;FS_IR_ATT;;54;Float;GADIRU_IRS_ATT_ROLL_ANGLE_PHI;no;20;;;GADIRU_IRS_ATT_ROLL_ANGLE_PHI_1;SCAF----------------------------;Roll Angle  - Phi;;GADIRU_IRS_ATT_ROLL_ANGLE_PHI_SG_1;Float;;;32;64;;;;;;;;;;;-180;179.994506835937;deg;;Simple Precision
AFDX_OUTPUT_MESSAGE;IR_1;;Application;VL_S_GADIRU_1_IR;8864;GADIRS_MESSAGE_IR_1;;;non protocol based data;;600;0;20;20;IR_ATT;;8;0;64;FS_IR_ATT;;54;Float;GADIRU_IRS_ATT_PITCH_ANGLE_THETA;;20;;;GADIRU_IRS_ATT_PITCH_ANGLE_THETA_1;SCAF----------------------------;Pitch Angle - Theta;;GADIRU_IRS_ATT_PITCH_ANGLE_THETA_SG_1;Float;;;32;68;;;;;;;;;;;-90;90;deg;0.0054931640625;Simple Precision
AFDX_OUTPUT_MESSAGE;IR_1;;Application;VL_S_GADIRU_1_IR;8864;GADIRS_MESSAGE_IR_1;;;non protocol based data;;600;0;20;20;IR_FLIGHTPATHANGLE;;4;0;72;FS_IR_FLIGHTPATHANGLE;;55;Float;GADIRU_IRS_MIX_ANGLES_FPA_INERTIAL;no;40;;;GADIRU_IRS_MIX_ANGELS_FPA_INERTIAL_1;SCAF----------------------------;Flight Path Angle - inertial  same as FPA ground;;GADIRU_IRS_MIX_ANGELS_FPA_INERTIAL_SG_1;Float;;;32;72;;;;;;;;;;;-90;90;deg;0.0054931640625;Simple Precision
AFDX_OUTPUT_MESSAGE;IR_1;;Application;VL_S_GADIRU_1_IR;8864;GADIRS_MESSAGE_IR_1;;;non protocol based data;;600;0;20;20;IR_HDG;;12;0;80;FS_IR_HDG;;76;Float;GADIRU_IRS_HDG_TRUE;;40;;;GADIRU_IRS_HDG_TRUE_1;SCAF----------------------------;True Heading;;GADIRU_IRS_HDG_TRUE_SG_1;Float;;;32;80;;;;;;;;;;;-180;180;deg;0.0054931640625;Simple Precision
AFDX_OUTPUT_MESSAGE;IR_1;;Application;VL_S_GADIRU_1_IR;8864;GADIRS_MESSAGE_IR_1;;;non protocol based data;;600;0;20;20;IR_HDG;;12;0;80;FS_IR_HDG;;76;Float;GADIRU_IRS_HDG_MAG;;40;;;GADIRU_IRS_HDG_MAG_1;SCAF----------------------------;Magnetic Heading;;GADIRU_IRS_HDG_MAG_SG_1;Float;;;32;84;;;;;;;;;;;-180;180;deg;0.0054931640625;Simple Precision
AFDX_OUTPUT_MESSAGE;IR_1;;Application;VL_S_GADIRU_1_IR;8864;GADIRS_MESSAGE_IR_1;;;non protocol based data;;600;0;20;20;IR_HDG;;12;0;80;FS_IR_HDG;;76;Float;GADIRU_IRS_HDG_PLATF;;40;;;GADIRU_IRS_HDG_PLATF_1;SCAF----------------------------;Platform Heading;;GADIRU_IRS_HDG_PLATF_SG_1;Float;;;32;88;;;;;;;;;;;-180;180;deg;0.0054931640625;Simple Precision
AFDX_OUTPUT_MESSAGE;IR_1;;Application;VL_S_GADIRU_1_IR;8864;GADIRS_MESSAGE_IR_1;;;non protocol based data;;600;0;20;20;IR_MODE_CURRENT;;4;0;92;FS_IR_MODE_CURRENT;;77;Enumerate;GADIRU_IR_MODE_CURRENT;no;480;;;GADIRU_IR_MODE_CURRENT_1;SCAF----------------------------;Current IR Mode;;GADIRU_IR_MODE_CURRENT_SG_1;Enumerate;;;32;92;;;;;;;;;[ALIGN&NAV&DEGRADED NAV&ATT&TEST&FAULT&SH DEG NAV&ALIGN IN AIR];{[1:ALIGN]&[2:NAV]&[3:DEGRADED NAV]&[4:ATT]&[5:TEST]&[6:FAULT]&[7:SH DEG NAV]&[8:ALIGN IN AIR]};;;;;
AFDX_OUTPUT_MESSAGE;IR_1;;Application;VL_S_GADIRU_1_IR;8864;GADIRS_MESSAGE_IR_1;;;non protocol based data;;600;0;20;20;IR_POS;;12;0;96;FS_IR_POS;;78;Float;GADIRU_IRS_HPOS_WGS84_LAT_SET;;480;;;GADIRU_IRS_HPOS_WGS84_LAT_SET_1;SCAF----------------------------;Set Latitude  Echo see notes ADIRU AFDX;;GADIRU_IRS_HPOS_WGS84_LAT_SET_SG_1;Float;;;32;96;;;;;;;;;;;-90;90;deg;0.1;Simple Precision
AFDX_OUTPUT_MESSAGE;IR_1;;Application;VL_S_GADIRU_1_IR;8864;GADIRS_MESSAGE_IR_1;;;non protocol based data;;600;0;20;20;IR_POS;;12;0;96;FS_IR_POS;;78;Float;GADIRU_IRS_HPOS_WGS84_LON_SET;;480;;;GADIRU_IRS_HPOS_WGS84_LON_SET_1;SCAF----------------------------;Set Longitude  Echo see notes ADIRU AFDX;;GADIRU_IRS_HPOS_WGS84_LON_SET_SG_1;Float;;;32;100;;;;;;;;;;;-180;180;deg;0.1;Simple Precision
AFDX_OUTPUT_MESSAGE;IR_1;;Application;VL_S_GADIRU_1_IR;8864;GADIRS_MESSAGE_IR_1;;;non protocol based data;;600;0;20;20;IR_POS;;12;0;96;FS_IR_POS;;78;Float;GADIRU_IRS_HPOS_QF_EPU;;80;;;GADIRU_IRS_HPOS_QF_EPU_1;SCAF----------------------------;Horizontal EPU;;GADIRU_IRS_HPOS_QF_EPU_SG_1;Float;;;32;104;;;;;;;;;;;0;100000;m;1;Simple Precision
AFDX_OUTPUT_MESSAGE;IR_1;;Application;VL_S_GADIRU_1_IR;8864;GADIRS_MESSAGE_IR_1;;;non protocol based data;;600;0;20;20;IR_POS_LAT;;4;0;108;FS_IR_POS_LAT;;79;Float;GADIRU_IRS_HPOS_WGS84_LAT;;80;;;GADIRU_IRS_HPOS_WGS84_LAT_1;SCAF----------------------------;Present Position Latitude;;GADIRU_IRS_HPOS_WGS84_LAT_SG_1;Float;;;32;108;;;;;;;;;;;-90;90;deg;;Simple Precision
AFDX_OUTPUT_MESSAGE;IR_1;;Application;VL_S_GADIRU_1_IR;8864;GADIRS_MESSAGE_IR_1;;;non protocol based data;;600;0;20;20;IR_POS_LON;;4;0;116;FS_IR_POS_LON;;112;Float;GADIRU_IRS_HPOS_WGS84_LON;;80;;;GADIRU_IRS_HPOS_WGS84_LON_1;SCAF----------------------------;Present Position Longitude;;GADIRU_IRS_HPOS_WGS84_LON_SG_1;Float;;;32;116;;;;;;;;;;;-180;180;deg;;Simple Precision
AFDX_OUTPUT_MESSAGE;IR_1;;Application;VL_S_GADIRU_1_IR;8864;GADIRS_MESSAGE_IR_1;;;non protocol based data;;600;0;20;20;IR_RATE;;12;0;120;FS_IR_RATE;;113;Float;GADIRU_IRS_RATE_BODY_ROLL_P_DOT;;20;;;GADIRU_IRS_RATE_BODY_ROLL_P_DOT_1;SCAF----------------------------;Body Roll Angular Acceleration;;GADIRU_IRS_RATE_BODY_ROLL_P_DOT_SG_1;Float;;;32;120;;;;;;;;;;;-256;256;deg/s2;0.001953125;Simple Precision
AFDX_OUTPUT_MESSAGE;IR_1;;Application;VL_S_GADIRU_1_IR;8864;GADIRS_MESSAGE_IR_1;;;non protocol based data;;600;0;20;20;IR_RATE;;12;0;120;FS_IR_RATE;;113;Float;GADIRU_IRS_RATE_BODY_PITCH_Q_DOT;;20;;;GADIRU_IRS_RATE_BODY_PITCH_Q_DOT_1;SCAF----------------------------;Body Pitch Angular Acceleration;;GADIRU_IRS_RATE_BODY_PITCH_Q_DOT_SG_1;Float;;;32;124;;;;;;;;;;;-256;256;deg/s2;0.001953125;Simple Precision
AFDX_OUTPUT_MESSAGE;IR_1;;Application;VL_S_GADIRU_1_IR;8864;GADIRS_MESSAGE_IR_1;;;non protocol based data;;600;0;20;20;IR_RATE;;12;0;120;FS_IR_RATE;;113;Float;GADIRU_IRS_RATE_BODY_YAW_R_DOT;;20;;;GADIRU_IRS_RATE_BODY_YAW_R_DOT_1;SCAF----------------------------;Body Yaw Angular Acceleration;;GADIRU_IRS_RATE_BODY_YAW_R_DOT_SG_1;Float;;;32;128;;;;;;;;;;;-256;256;deg/s2;0.001953125;Simple Precision
AFDX_OUTPUT_MESSAGE;IR_1;;Application;VL_S_GADIRU_1_IR;8864;GADIRS_MESSAGE_IR_1;;;non protocol based data;;600;0;20;20;IR_STATUS_ALIGNMENT_REF;;4;0;132;FS_IR_STATUS_ALIGNMENT_REF;;114;Enumerate;GADIRU_IR_ALIGNMENT_REF;no;480;;;GADIRU_IR_ALIGNMENT_REF_1;SCAF----------------------------;IR alignment reference;;GADIRU_IR_ALIGNMENT_REF_SG_1;Enumerate;;;32;132;;;;;;;;;[SH&GPS_PY&GPS_MMR&FMS_MANUAL&FMS_ARP];{[1:SH]&[2:GPS_PY]&[3:GPS_MMR]&[4:FMS_MANUAL]&[5:FMS_ARP]};;;;;
AFDX_OUTPUT_MESSAGE;IR_1;;Application;VL_S_GADIRU_1_IR;8864;GADIRS_MESSAGE_IR_1;;;non protocol based data;;600;0;20;20;IR_STATUS_DSCWRD1;;4;0;136;FS_IR_STATUS_DSCWRD1;;115;Boolean;GADIRU_IRDSCTWRD1_B17_EXTREMELATITUDE;no;480;;;GADIRU_IRDSCTWRD1_B17_EXTREMELATITUDE_1;SCAF----------------------------;The A/C Latitude is out of the range 82deg N to 60deg S or A/C position is in the area defined by 73degN-82degN/90degW-120degW. At these latitudes magnetic heading and magnetic track angle are respectively equal to true heading and true track angle.;;GADIRU_IRDSCTWRD1_B17_EXTREMELATITUDE_SG_1;Boolean;;;1;136;1;Extreme Latitude;Non-extreme Latitude;1;0;;;;;;;;;;
AFDX_OUTPUT_MESSAGE;IR_1;;Application;VL_S_GADIRU_1_IR;8864;GADIRS_MESSAGE_IR_1;;;non protocol based data;;600;0;20;20;IR_STATUS_DSCWRD1;;4;0;136;FS_IR_STATUS_DSCWRD1;;115;Boolean;GADIRU_IRDSCTWRD1_B06_SETVALIDHEADING;no;480;;;GADIRU_IRDSCTWRD1_B06_SETVALIDHEADING_1;SCAF----------------------------;In ATT mode this boolean indicates that a Magnetic Heading reinitialization via FMS is expected;;GADIRU_IRDSCTWRD1_B06_SETVALIDHEADING_SG_1;Boolean;;;1;136;2;Valid Heading Set to be received;Valid Heading Set received or not necessary;1;0;;;;;;;;;;
AFDX_OUTPUT_MESSAGE;IR_1;;Application;VL_S_GADIRU_1_IR;8864;GADIRS_MESSAGE_IR_1;;;non protocol based data;;600;0;20;20;IR_STATUS_DSCWRD1;;4;0;136;FS_IR_STATUS_DSCWRD1;;115;Boolean;GADIRU_IRDSCTWRD1_B07_ATTITUDEINVALID;no;480;;;GADIRU_IRDSCTWRD1_B07_ATTITUDEINVALID_1;SCAF----------------------------;The IR has detected a failure of attitude, heading, angular body rates or linear body accelerations, or leveling is not completed.;;GADIRU_IRDSCTWRD1_B07_ATTITUDEINVALID_SG_1;Boolean;;;1;136;3;Attitudes not valid;Attitudes valid;1;0;;;;;;;;;;
AFDX_OUTPUT_MESSAGE;IR_1;;Application;VL_S_GADIRU_1_IR;8864;GADIRS_MESSAGE_IR_1;;;non protocol based data;;600;0;20;20;IR_STATUS_DSCWRD1;;4;0;136;FS_IR_STATUS_DSCWRD1;;115;Boolean;GADIRU_IRDSCTWRD1_B11_IRFAULT;no;480;;;GADIRU_IRDSCTWRD1_B11_IRFAULT_1;SCAF----------------------------;The IR has detected a failure. Some parameters are invalid.;;GADIRU_IRDSCTWRD1_B11_IRFAULT_SG_1;Boolean;;;1;136;4;Fault;No  Fault;1;0;;;;;;;;;;
AFDX_OUTPUT_MESSAGE;IR_1;;Application;VL_S_GADIRU_1_IR;8864;GADIRS_MESSAGE_IR_1;;;non protocol based data;;600;0;20;20;IR_STATUS_DSCWRD1;;4;0;136;FS_IR_STATUS_DSCWRD1;;115;Boolean;GADIRU_IRDSCTWRD1_B13_ALIGNFAULT;no;480;;;GADIRU_IRDSCTWRD1_B13_ALIGNFAULT_1;SCAF----------------------------;An IR alignment test has failed;;GADIRU_IRDSCTWRD1_B13_ALIGNFAULT_SG_1;Boolean;;;1;136;5;Position mismatch during IR alignment;No Position mismatch;1;0;;;;;;;;;;
AFDX_OUTPUT_MESSAGE;IR_1;;Application;VL_S_GADIRU_1_IR;8864;GADIRS_MESSAGE_IR_1;;;non protocol based data;;600;0;20;20;IR_STATUS_DSCWRD1;;4;0;136;FS_IR_STATUS_DSCWRD1;;115;Boolean;GADIRU_IRDSCTWRD1_B14_NOIRSINITIALIZATION;no;480;;;GADIRU_IRDSCTWRD1_B14_NOIRSINITIALIZATION_1;SCAF----------------------------;Indicates that no position has been selected for Initialization;;GADIRU_IRDSCTWRD1_B14_NOIRSINITIALIZATION_SG_1;Boolean;;;1;136;6;Position missing for IR initialisation;No position missing;1;0;;;;;;;;;;
AFDX_OUTPUT_MESSAGE;IR_1;;Application;VL_S_GADIRU_1_IR;8864;GADIRS_MESSAGE_IR_1;;;non protocol based data;;600;0;20;20;IR_STATUS_DSCWRD1;;4;0;136;FS_IR_STATUS_DSCWRD1;;115;Boolean;GADIRU_IRDSCTWRD1_B18_LATITUDETESTFAIL;no;480;;;GADIRU_IRDSCTWRD1_B18_LATITUDETESTFAIL_1;SCAF----------------------------;IR Discrete Word #1 Latitude test failed;;GADIRU_IRDSCTWRD1_B18_LATITUDETESTFAIL_SG_1;Boolean;;;1;136;7;Latitude Test Fail;No Latitude Test Fail;1;0;;;;;;;;;;
AFDX_OUTPUT_MESSAGE;IR_1;;Application;VL_S_GADIRU_1_IR;8864;GADIRS_MESSAGE_IR_1;;;non protocol based data;;600;0;20;20;IR_STATUS_DSCWRD1;;4;0;136;FS_IR_STATUS_DSCWRD1;;115;Boolean;GADIRU_IRDSCTWRD1_B19_GPSPOS_MISCOMP;no;480;;;GADIRU_IRDSCTWRD1_B19_GPSPOS_MISCOMP_1;SCAF----------------------------;Comparison of airport/manual position or last Nav stored position to GPS position fails.;;GADIRU_IRDSCTWRD1_B19_GPSPOS_MISCOMP_1;Boolean;;;1;136;8;GPS position miscomparison;No GPS position miscomparison;1;0;;;;;;;;;;
